1020					1020,
TomPettyConcert				TomPettyConcert
TomThumbOverseasMarathon		TOM_THUMB_SU/10694_OVERS,
TomoSushi				TOMO_SUSHI,Tomo_Sushi,
TonyRomas				TONY_ROMAS_RESTAURANT,
Tortilla				Tortilla,
TownOfSchroon				TOWN_OF_SCHROON_STROTH,
ToyotaCamryFromSteve			ToyotaCamryFromSteve
ToyotaCarPayment			T.M.C.C,
ToyotaOfNaperville			TOYOTA_OF_NAPERVILLE,
ToysInBabeland				MC-TIB-MERCER_ST.,
ToysRUs					TOYS_R_US,
TraderJoes				TRADER_JOE'S,
TravelMart				TRAVEL_MART_NJ10916Q19,Travel_Mart_Nj10916q19_Milltown_Nj,Travel_Mart_Oh11656q19_Swanton_Oh,TRAVEL_MART_NY11106036,
Travelocity				TRAVELOCITY.COM,Travelocity.com,
TrendMicro				TREND_MICRO,
TufanLtd				TUFAN_LTD,
TugboatRestaurant			Tugboat_Restaurant_Boothbay_Harb_Me,
TurboTax				INTUIT_*TURBOTAX,Intuit_*Turbotax_800-446-8848_Ca,
TuscanyCafe				TUSCANY_CAFE,
TwiceSoldTales				TWICE_SOLD_TALES,
TwoBrothersTapHouse			TWO_BROTHERS_TAP_HOUSE,
TyroneHouse				TYRONE_HOUSE,
UBCBookstore				UBC_BOOKSTORE,
UBS					UBS_GE-COINTRIN_586,UBS_GE-COINTRIN_585,
UCSantaBarbara				Ucsb_Crtyd_Cafe_Q01,
UDistrictBookStore			U_BOOK_STORE,
UHaul					U-HAUL_CTR,
UNICEF					US_FUND_FOR_UNICEF,
USAGasStation				USA_GAS_STATION_OF_MID,
USAToday				USA_TODAY,
USAirway				USAIRWAY,
USDepartmentOfEducation			US_DEPT_OF_EDUC,
USOpen					US_OPEN,
USPS					USPS,Usps_Change,
USTA					Usta-conc,
USTreasury				US_TREASURY_312,US_TREASURY_220,
UWInpatientPharmacy			UW_INPATIENT_PHARMACY,
UWMCExpresso				UWMC_LOBBY_EXPRESSO,
UggStore				UGG_STORE,
Uhaul					U-haul_Huntington,U-haulport-jeff-g,U-haul-kings-brid,
UnclePetesPizza				UNCLE_PETES_PIZZA,Uncle_Petes_Pizza,
UnionFoodCourt				UNION_FOOD,
UnionOutTakes				UNION_OUTTAKES,
UnitedAirlines				UNITED,United,
UniversityFoodGrill			UFOOD_GRILL_BOSTON_MA,
UniversityGrill&Pizza			UNIVERSITY_GRILL_&_PIZ,
UniversityHardware			University_Hardware,University_Hardware_,
UniversityHouseware			University_Housewares,
UniversityOfChicagoMedical		UNIVERSITY_OF_CHICAGO,UNIV_CHICAGO_MEDICAL_C,
UniversityOfCinncinnati			UNIV_CINTI_CONF_WWW,
UniversityOfMaryland			UNIV_OF_MD_DINING,
UniversityOfMichigan			US_ATLAS_WORKSHOP_UM,
UniversityOfMinnesota			U_OF_M_CCE_NONCREDIT,
UniversityOfMinnesotaBookstore		U_OF_M-EBANK_BOOKSTORE,
UniversityOfOxford			UNIVERSITY_OXFORD,
UniversityOfUtahWebPayment		UNIVOFUT_WEB_PAYMNT,
UniversityOfWashingtonSalary		UNIV_OF_WASH_____REG_SALARY,
UniversityOfWashingtonTuition		UW_TUITION_______UNIV_OF_WA,UW_TUITION,
UniversityTeriyaki			UNIVERSITY_TERIYAKI,
UniversityofPittsburgh			ACT*University_of_Pitt,
Upkeepers				Upkeepers,
UpperCrustJFK				JFK_UPPER_CRUS,
UrbanTaco				URBAN_TACO,
UsOpen					Fmi-us_Open_2007,
VX510					VX510,
ValdostanaLaThuille			BCC_VALDOSTANA,
Valero					HOLBROOK_VALERO,
VendingAtCocaCola			VEND_AT_COCA_COLA47Q82,VEND_AT_COCA_COLA70Q82,
VeraBradley				VERA_BRADLEY_ECOMMERCE,VERA_BRADLEY,
Verizon					Verizon_Wireless,VERIZON_WIRELESS,VERIZON_Internet,VERIZON_INTERNET,VERIZON_WRLS,
VictoriasSecret				VICTORIA'S_SECRET,Victoria's_Secret_Cata_800-888-1500_Oh,Victoria_Secret_800-888-1500_Oh,VICTORIA_SECRET,
VillaPizza				VILLA_PIZZA,
VillagePontiac				VILLAGE_PONTIAC,Village_Pontiac,
WAPBoston				WAP_-BAZAAR,WAP_-SAMBURU,
WBEZ					WBEZ_ALLIANCE,WBEZ,
WHSmith					WH_SMITH,
WIRE_TRANSFER_DEPOSIT			WIRE_TRANSFER_DEPOSIT,
WNYC					WNYC_RADIO,WNYC/WQXR,WNYC_/_WQXR,
WOOTInc					WOOT_INC,
WSHU					WSHU_RADIO,
WSOutlet				WS_OUTLET_0141,
WalMart					WAL-MART,
Waldbaums				WALDBAUM'S,
Walgreens				WALGREEN,Walgreens,
WashingtonMetroRail			WASH_METRORAIL,
WashingtonMutual			WAMU/PVN,
WaterwheelLiquors			WATERWHEEL_LIQUORS,
WaverlyLiquors				WAVERLY_LIQUORS,
WeBringThe				WEBRINGTHET,
Wendys					WENDYS,WENDY'S,Wendys_,Wendys,Wendy's_,Wendy's,
WestElm					WEST_ELM,
WestSuburbanLimo			W_SUBURB_LIMO,W_Suburb_Limo_Sevr,
Westin					WESTIN,
WestoneLaboraties			WESTONE_LABORATORIES_I,
WestsideMarket				WESTSIDE_SUPERMARKE,WESTSIDE_SUP,Westside_,
WexnerCafe				96_WEXNER_CAFE,
WhistleStop				WHISTLE_STOP_CA_LAKE_RON,
WhiteHen				WHITE_HEN_PANTRY,
WhiteHouseSubs				WHITE_HOUSE_SUBS,White_House_Subs,
WholeFoods				WHOLE_FOODS,WHOLEFOODS.COM,WHOLEFDS,
WilcoOil				WILCO,
WildBirdCenter				Wild_Bird_Center_Of_St,
WildBirdsUnlimited			WILD_BIRDS_UNLIMITED,
WildByNature				WILD_BY_NATURE,Wild_By_Nature_201,
WildOutWest				WOW,Wow_,
WilliamAndMary				William_And_Mary_Confe_7572211478_Va,
WilliamsSonoma				WILLIAMS-SONOMA,Williams-sonoma_0003,
WilliamsburgHospitalityHouse		The_Wlmsburg_Hosp_Hous,Williamsbrg_Hsp_House,
Wings					Wings,WINGS_BEACHWEAR_STR_4,
WinterthurMuseum			WINTERTHUR_MUSEUM,
WiscassetClipper			Wiscasset_Clipper,
WokAndRoll				Wok_And_Roll_Of_Newark,C.Y_WOK_&_ROLL_INC,
WorldFamousKaysPizza			World_Famous_Kay's_Piz,
WorldPantry.com				WORLDPANTRY.COM,
WorldWildlifeFund			WORLD_WILDLIFE_FUND,World_Wildlife_Fund,
WyndhamPittsburg			WYNDHAM_PITT_UNVI_CTR,
YankeeStadium				Yankee_Stadium_Concq02,
YogurtCrazy				YOGURT_CRAZY,
YouMeAndTea				You_Me_And_Tea,
Yoyo.com				QI_*YOYO.COM,
ZMarketMaryland				Z_MARKET_MD-TO10786028,
ZPita					Z_Pita,
ZanesTavern				ZANE'S_TAVERN_-_ASPEN,
ZapposDevelopment.6pm.com		ZAP*DEV_6PM.COM,
ZazuSalon				ZAZU_SALON_&_DAY_SPA,ZAZU_SALON_AND_DAY_SPA,Zazu_Salon,
Zazzle.com				ZAZZLE.COM,
ZeytinRestaurant			ZEYTIN_RESTAURANT,
ZocaloGrill				ZOCALO_GRILL,
Zoup					ZOUP,
Zulily					ZULILY,
www.abebooks.com			ABEBOOKS.COM,
www.alexandalexa.com			WWW.ALEXANDALEXA.COM,
www.asos.com				WWW.ASOS.COM,
www.bookworm.com			QI_*BOOKWORM.COM,
www.ebags.com				EBags.com,
www.myhabit.com				AMZ*MYHABIT.com,
www.store.motorola.com			ASI*www.store.motorola,
www.teamfanshop.com			TEAMFANSHOP.COM,
www.wiworldstore.com			Www.wiworldstore.com,
